iteration,loss
1,245.8941428571427
2,38.96560420826499
3,13.381973497408184
4,10.038793257381135
5,9.436947862900075
6,9.185513084377712
7,8.99022948989245
8,8.813890774011417
9,8.650896285178554
10,8.499613630071782
11,8.358982986457411
12,8.228092961651937
13,8.10612134986339
14,7.992321284765096
15,7.886013570022924
16,7.786580324355396
17,7.693459293007838
18,7.606138698966547
19,7.524152575560026
20,7.447076534474086
21,7.374523928356437
22,7.306142371109699
23,7.241610582436356
24,7.180635526328997
25,7.122949816034214
26,7.0683093605883505
27,7.0164912303528935
28,6.967291721088374
29,6.920524598019686
30,6.876019503080393
31,6.833620510096154
32,6.793184814092623
33,6.75458154220515
34,6.717690674838849
35,6.682402066788845
36,6.6486145589930885
37,6.616235172461869
38,6.5851783767192265
39,6.555365425807613
40,6.526723755557136
41,6.499186436409185
42,6.472691676618316
43,6.447182371139718
44,6.422605691948353
45,6.398912715933377
46,6.376058086871624
47,6.353999708310705
48,6.332698464488344
49,6.312117966682901
50,6.292224322633271
51,6.2729859268871175
52,6.254373270135924
53,6.236358765776937
54,6.2189165921061145
55,6.202022548695119
56,6.185653925640493
57,6.169789384495366
58,6.154408849805123
59,6.139493410268855
60,6.1250252286397
61,6.110987459559748
62,6.097364174600093
63,6.084140293844596
64,6.071301523417351
65,6.058834298409813
66,6.046725730714056
67,6.034963561314474
68,6.023536116631954
69,6.012432268552049
70,6.001641397803141
71,5.991153360381232
72,5.980958456746451
73,5.971047403541563
74,5.961411307606062
75,5.95204164208017
76,5.942930224412343
77,5.934069196100803
78,5.925451004015422
79,5.917068383160388
80,5.9089143407509015
81,5.900982141488892
82,5.893265293933085
83,5.885757537868703
84,5.878452832590276
85,5.87134534601943
86,5.864429444586271
87,5.857699683809707
88,5.851150799517737
89,5.844777699654344
90,5.838575456624138
91,5.832539300130579
92,5.82666461046739
93,5.820946912226527
94,5.815381868389272
95,5.809965274770001
96,5.804693054784938
97,5.799561254520631
98,5.794566038079046
99,5.789703683178371
100,5.7849705769902
101,5.78036321219577
102,5.775878183245105
103,5.771512182804538
104,5.767261998379226
105,5.763124509098423
106,5.759096682652345
107,5.755175572370334
108,5.7513583144310205
109,5.747642125195748
110,5.74402429865743
111,5.7405022039975515
112,5.737073283244668
113,5.733735049028198
114,5.73048508242191
115,5.727321030871847
